2011-10-07 19:50:54 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:50:54 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:51:20 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:51:20 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:55:07 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:55:07 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:55:29 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:55:29 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:57:42 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:57:42 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:57:47 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:57:47 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:57:51 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:57:51 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:58:45 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:58:45 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:58:59 Warning: Warning (2): include_once(/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
2011-10-07 19:58:59 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/Users/laander/Sites/projects/itu-dashboard/cake/config/database.php' for inclusion (include_path='.:/usr/lib/php') in [/Users/laander/Sites/projects/itu-dashboard/cake/libs/model/connection_manager.php, line 23]
